date,product,quantity_sold,price,customer_age,customer_segment,season,revenue
2023-01-01,Product_1,12,213.42334113198544,25,Mid-Range,Winter,2561.080093583825
2023-01-01,Product_2,6,369.6853371725359,59,Mid-Range,Spring,2218.1120230352153
2023-01-01,Product_3,11,226.5024506682467,33,Premium,Fall,2491.5269573507135
2023-01-01,Product_4,14,314.7449766799508,56,Premium,Spring,4406.429673519311
2023-01-01,Product_5,7,251.3279046776353,55,Mid-Range,Spring,1759.295332743447
2023-01-01,Product_6,8,287.93518743464875,21,Premium,Summer,2303.48149947719
2023-01-01,Product_7,9,422.16228462276774,52,Budget,Summer,3799.46056160491
2023-01-01,Product_8,11,236.17985960421453,45,Premium,Summer,2597.9784556463596
2023-01-01,Product_9,8,153.5350127088463,60,Mid-Range,Summer,1228.2801016707704
2023-01-01,Product_10,10,306.64419145160105,59,Mid-Range,Fall,3066.4419145160105
2023-01-01,Product_11,7,471.8789683437338,31,Premium,Summer,3303.1527784061363
2023-01-01,Product_12,11,361.94540937305817,22,Mid-Range,Winter,3981.3995031036397
2023-01-01,Product_13,11,188.76345974755023,19,Budget,Fall,2076.3980572230525
2023-01-01,Product_14,8,483.3472243220134,62,Mid-Range,Summer,3866.777794576107
2023-01-01,Product_15,12,204.22260552488677,41,Premium,Spring,2450.671266298641
2023-01-01,Product_16,6,492.4643107185261,20,Premium,Winter,2954.7858643111567
2023-01-01,Product_17,7,136.39537789540856,40,Premium,Summer,954.76764526786
2023-01-01,Product_18,8,499.8422904532397,28,Premium,Fall,3998.7383236259175
2023-01-01,Product_19,10,84.15754245887001,55,Mid-Range,Spring,841.5754245887001
2023-01-01,Product_20,5,370.95794677654334,52,Premium,Fall,1854.7897338827167
2023-01-02,Product_1,3,383.19871372061544,18,Premium,Summer,1149.5961411618464
2023-01-02,Product_2,9,355.80860913415705,23,Budget,Fall,3202.2774822074134
2023-01-02,Product_3,13,399.9230454408217,23,Mid-Range,Summer,5198.999590730682
2023-01-02,Product_4,8,262.324823741409,57,Budget,Spring,2098.598589931272
2023-01-02,Product_5,6,74.35127595915839,43,Mid-Range,Winter,446.1076557549503
2023-01-02,Product_6,13,210.98898173051964,52,Premium,Summer,2742.8567624967554
2023-01-02,Product_7,12,339.04152374006685,30,Mid-Range,Winter,4068.498284880802
2023-01-02,Product_8,13,340.81117128539734,42,Premium,Winter,4430.5452267101655
2023-01-02,Product_9,9,137.83722454099404,39,Premium,Winter,1240.5350208689465
2023-01-02,Product_10,14,163.852342839446,34,Budget,Winter,2293.932799752244
2023-01-02,Product_11,8,269.0141620471015,31,Mid-Range,Fall,2152.113296376812
2023-01-02,Product_12,8,377.8747352204988,20,Mid-Range,Fall,3022.9978817639903
2023-01-02,Product_13,12,433.75914635110524,21,Premium,Summer,5205.109756213263
2023-01-02,Product_14,15,88.91818161841522,52,Budget,Winter,1333.7727242762282
2023-01-02,Product_15,13,466.52896205249556,64,Budget,Fall,6064.876506682443
2023-01-02,Product_16,13,467.4792481456887,45,Premium,Fall,6077.2302258939535
2023-01-02,Product_17,10,53.57018394408767,60,Budget,Fall,535.7018394408767
